機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Noi,イムくん,8,14,14,通常,,1,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,400,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,300,-999,-999,-999,-999,131135,0,0,67520,192,0,0
Noi,イムくん,8,14,14,通常,,2,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,500,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,50,-999,-999,-999,-999,8255,49152,0,51136,0,0,0
Noi,イムくん,8,14,14,通常,,2,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,5000,0,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65599,0,0,133056,0,0,0
Noi,イムくん,8,14,14,通常,,2,0,0,0,110,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,0,400,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,131135,0,0,67520,192,0,0
Noi,イムくん,8,14,14,通常,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,400,700,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,131135,0,0,67520,192,0,0
Noi,イムくん,8,14,14,通常,,3,0,0,0,180,1,0,1,-999,-999,15,0,1,1,8,0,500,0,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,63,0,0,1984,192,0,0
Noi,イムくん,8,14,14,通常,,4,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,3000,0,100,200,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,150,90,-999,45,-999,8255,49152,1,51136,8192,0,0
Noi,イムくん,8,14,14,通常,,4,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,10000,0,100,200,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,150,90,-999,45,-999,8255,960,1,51136,0,0,0
Noi,イムくん,8,14,14,通常,,3,0,0,0,135,0,0,1,-999,-999,15,100,1,1,8,0,10000,0,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,150,600,-999,-999,-999,-999,-999,32831,0,0,10176,192,0,0
Noi,イムくん,8,14,14,通常,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,2000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,63,255,0,1984,0,0,6
Noi,イムくん,8,14,14,通常,,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,2000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Noi,イムくん,8,14,14,通常,１９式アームジャブ,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,500,0,100,0,100,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Noi,イムくん,8,14,14,通常,１９式アームジャブ,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,500,0,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8208,255,1,395200,0,0,0
Noi,イムくん,8,14,14,通常,トーキック,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,400,0,100,0,150,-60,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,1023,1,395200,0,0,0
Noi,イムくん,8,14,14,通常,トーキック,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,400,0,100,0,250,-60,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8208,1023,1,395200,0,0,0
Noi,イムくん,8,14,14,通常,クラッシュベノム,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,4,100,0,100,0,100,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,511,1,133056,0,0,0
Noi,イムくん,8,14,14,通常,クラッシュベノム,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,4,400,0,100,0,100,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,768,1,133056,0,0,0
Noi,イムくん,8,14,14,通常,グリガントブレード,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,5,500,0,100,0,200,-30,100,-999,-999,-999,-999,-999,-999,40,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Noi,イムくん,8,14,14,通常,ハングドマン,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,200,0,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,120,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Noi,イムくん,8,14,14,通常,タイガークロー,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,50,0,100,0,300,-60,60,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Noi,イムくん,8,14,14,通常,ドラゴンクロー,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,300,0,100,0,150,0,200,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
