機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Yukie,黛　由紀江,7,12,12,通常,,1,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,50,0,100,600,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500,-999,-999,-999,-999,63,0,0,1984,0,0,0
Yukie,黛　由紀江,7,12,12,通常,,2,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,500,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500,-999,-999,-999,-999,63,0,0,1984,0,0,0
Yukie,黛　由紀江,7,12,12,通常,,2,0,0,0,30,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500,-999,-999,-999,-999,63,0,0,1984,0,0,0
Yukie,黛　由紀江,7,12,12,通常,,3,0,0,0,60,1,0,1,-999,-999,14,100,1,1,8,0,300,2000,100,250,600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,14
Yukie,黛　由紀江,7,12,12,通常,,3,0,0,0,90,1,0,1,-999,-999,14,100,1,1,8,0,300,2000,100,250,600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,14
Yukie,黛　由紀江,7,12,12,通常,,4,0,0,0,0,1,0,1,-999,-999,15,20,1,1,8,0,1000,0,100,250,1500,-200,200,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,150,-999,-999,30,-999,8255,0,1,51136,0,0,0
Yukie,黛　由紀江,7,12,12,通常,,4,0,0,0,0,1,0,1,-999,-999,15,50,1,1,8,0,3000,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,150,-999,-999,-999,-999,8239,896,1,575424,0,0,0
Yukie,黛　由紀江,7,12,12,通常,,2,0,0,0,180,0,0,1,-999,-999,15,100,1,1,8,0,500,0,100,0,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,500,-999,-999,-999,-999,-999,49215,8192,0,10176,49152,0,0
Yukie,黛　由紀江,7,12,12,通常,,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
Yukie,黛　由紀江,7,12,12,通常,上段斬り,2,0,0,0,0,0,0,1,-999,-999,15,100,2,2,8,0,500,0,100,0,150,-999,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
